assessment,fit,slope,intercept
FM-uex,PRR,0.7,-8.5427135678392
FM-uex,Best fit,0.6633165829145727,-8.5427135678392
FM-lex,PRR,0.7,1.5075376884421985
FM-lex,Best fit,0.7492462311557788,1.5075376884421985
BI,PRR,0.7,17.58793969849245
BI,Best fit,0.7015075376884421,17.58793969849245
MRS,PRR,0.7,-0.5025125628140756
MRS,Best fit,0.6251256281407035,-0.5025125628140756
NIHSS,PRR,0.7,0.5025125628140614
NIHSS,Best fit,0.7874371859296482,0.5025125628140614
