StudyID,TimePointMerged,C_PawDragPercent,GW_FootFault,RB_HindlimbDrop,Group,fixed_type,distance_to_boundary
SPsT1c11m2,3.0,15.0,15.78947368,2.67,Stroke,poor,-9.146040873983642
SPsT1c11m3,3.0,16.0,21.15384615,1.0,Stroke,poor,-7.0129962607187455
SPsT1c4m3,3.0,30.0,19.04761905,4.33,Stroke,good,6.259847671748512
SPsV1c6m2,3.0,27.27272727,16.66666667,1.0,Stroke,good,2.911617194478187
SPsT1c1m2,3.0,33.33333333,19.71830986,5.33,Stroke,good,9.699273771707418
SPsV1c5m1,3.0,33.33333333,24.17582418,1.5,Stroke,good,10.554910208583653
SPsV1c5m2,3.0,50.0,25.625,2.5,Stroke,good,27.134834619381348
SPsV1c2m1,3.0,41.66666667,27.27272727,3.5,Stroke,good,19.45824474015151
SPsV1c2m3,3.0,30.0,23.58490566,2.33,Stroke,good,7.21557216008055
SPsV1c2m2,3.0,53.84615385,26.66666667,2.67,Stroke,good,31.12114974651738
PBsT3c25m2,28.0,0.0,5.0,0.0,Stroke,poor,-26.331648539992393
PBsT3c25m3,28.0,12.5,8.333333333,0.75,Stroke,good,-13.379301300600973
PBsT3c25m4,28.0,30.76923077,5.833333333,0.0,Stroke,good,3.7707403510051316
PBsT3c12m2,28.0,33.33333333,19.16666667,0.0,Stroke,good,9.334218916184678
PBsT3c13m2,28.0,10.0,1.666666667,0.0,Stroke,poor,-17.37848579320508
PBsT3c13m3,28.0,5.0,2.5,0.0,Stroke,poor,-22.047000956844197
PBsT3c13m4,28.0,15.0,10.83333333,0.5,Stroke,good,-10.384438685191471
PBsT3c14m1,28.0,20.0,7.5,0.0,Stroke,good,-6.314051354293528
PBsT3c14m2,28.0,0.0,2.5,0.0,Stroke,poor,-26.907449910613607
GVsT3c16m2,28.0,27.27272727,4.545454545,0.0,Stroke,good,-0.07520004679015861
GVsT3c16m3,28.0,28.57142857,4.580152672,0.25,Stroke,good,1.356809244798247
GVsT3c17m3,28.0,28.57142857,8.0,0.0,Stroke,good,2.1333071249038658
GVsT3c17m4,28.0,23.07692308,5.504587156,0.25,Stroke,good,-3.771427190097225
GVsT3c12m2,28.0,18.18181818,2.222222222,0.75,Stroke,good,-9.263578316396098
GVsT3c12m3,28.0,16.66666667,3.521126761,0.0,Stroke,good,-10.470766919383877
GVsT3c13m1,28.0,18.18181818,2.127659574,0.0,Stroke,good,-9.318847731543663
GVsT3c13m3,28.0,15.38461538,3.333333333,0.4,Stroke,good,-11.74242740466141
GVsT3c13m4,28.0,16.66666667,4.430379747,0.0,Stroke,good,-10.261347273151785
GVsT3c14m1,28.0,33.33333333,4.210526316,0.0,Stroke,good,5.889512470170099
GVsT3c14m3,28.0,30.0,7.692307692,1.25,Stroke,good,3.5069551233264367
GVsT3c10m1,28.0,0.0,11.36363636,0.25,Stroke,poor,-24.85480909329774
GVsT3c8m2,28.0,0.0,7.142857143,0.0,Stroke,good,-25.838104507998455
GVsT3c3m1,28.0,6.25,6.976744186,0.25,Stroke,good,-19.78963931170864
GVsT3c3m3,28.0,0.0,8.771929825,0.33,Stroke,good,-25.448160129288375
GVsT3c4m3,28.0,5.0,6.956521739,0.25,Stroke,good,-21.009409195230962
SPsV1c10m1,28.0,16.66666667,17.79661017,1.0,Stroke,good,-7.138176828488999
SPsT1c22m1,28.0,5.263157895,5.0,0.33,Stroke,poor,-21.20065101768199
SPsT1c22m3,28.0,7.692307692,3.333333333,0.5,Stroke,poor,-19.21557588294163
SPsV1c8m2,28.0,20.0,17.80821918,0.0,Stroke,good,-3.9398566612903734
SPsT1c13m1,28.0,0.0,6.451612903,0.67,Stroke,poor,-25.96739480016223
SPsT1c11m2,28.0,15.0,7.142857143,0.33,Stroke,poor,-11.242022181235004
SPsT1c11m3,28.0,0.0,8.527131783,0.33,Stroke,poor,-25.504542148531968
SPsT1c4m3,28.0,10.0,11.66666667,0.5,Stroke,good,-15.052953847218344
SPsV1c6m2,28.0,10.52631579,11.30434783,0.0,Stroke,good,-14.647103577727254
SPsT1c1m2,28.0,5.0,12.93103448,0.33,Stroke,good,-19.629783911156533
SPsV1c5m1,28.0,20.0,11.88118812,0.0,Stroke,good,-5.304973704515375
SPsV1c5m2,28.0,18.18181818,10.11077158,0.33,Stroke,good,-7.46543753213747
SPsV1c2m1,28.0,21.42857143,10.29411765,0.0,Stroke,good,-4.28180894280908
SPsV1c2m3,28.0,16.66666667,19.73684211,0.67,Stroke,good,-6.706037009794183
SPsV1c2m2,28.0,21.42857143,15.51724138,0.5,Stroke,good,-3.0564897589348874
