assessment,fit,slope,intercept
C_PawDragPercent,PRR,0.7,-1.507537688442227
C_PawDragPercent,Best fit,0.7015075376884421,-1.507537688442227
GW_FootFault,PRR,0.7,-0.5025125628140756
GW_FootFault,Best fit,0.6728643216080401,-0.5025125628140756
RB_HindlimbDrop,PRR,0.7,0.5025125628140614
RB_HindlimbDrop,Best fit,0.7778894472361808,0.5025125628140614
