StudyID,TimePointMerged,C_PawDragPercent,GW_FootFault,RB_HindlimbDrop,Group,fixed_type,distance_to_boundary
SRs1i7c4m2s,28.0,23.07692308,13.33333333,0.0,Stroke,poor,1.2507552766055172
SRs1i7c4m2s,28.0,23.07692308,13.33333333,0.0,Stroke,poor,1.2507552766055172
SRs1i7c4m2s,28.0,23.07692308,13.33333333,0.0,Stroke,poor,1.2507552766055172
SRs1i7c4m3s,28.0,0.0,11.66666667,0.0,Stroke,poor,2.218677327243001
SRs1i7c4m3s,28.0,0.0,11.66666667,0.0,Stroke,poor,2.218677327243001
SRs1i7c4m4s,28.0,18.18181818,10.0,0.0,Stroke,poor,1.6286002844904919
SRs1i7c4m4s,28.0,18.18181818,10.0,0.0,Stroke,poor,1.6286002844904919
SRs1i7c5m1s,28.0,8.333333333,8.333333333,0.0,Stroke,poor,2.0969943772816744
SRs1i7c5m1s,28.0,8.333333333,8.333333333,0.0,Stroke,poor,2.0969943772816744
SRs1i7c5m2s,28.0,0.0,19.14893617,0.5,Stroke,poor,1.5626727398558988
SRs1i7c5m2s,28.0,0.0,19.14893617,0.5,Stroke,poor,1.5626727398558988
SRs1i7c5m3s,28.0,0.0,15.0,0.0,Stroke,poor,2.025679669669148
SRs1i7c5m3s,28.0,0.0,15.0,0.0,Stroke,poor,2.025679669669148
SPsT1.2.2c1m3,28.0,20.0,9.166666667,0.75,Stroke,poor,1.2740124502999894
PBsT3c25m2,28.0,0.0,5.0,0.0,Stroke,good,2.6046726429697005
PBsT3c25m3,28.0,12.5,8.333333333,0.75,Stroke,good,1.6054744119380575
PBsT3c25m4,28.0,30.76923077,5.833333333,0.0,Stroke,good,1.3945255991530878
PBsT3c12m2,28.0,33.33333333,19.16666667,0.0,Stroke,good,0.5257101655812108
PBsT3c13m2,28.0,10.0,1.666666667,0.0,Stroke,good,2.4200535711735767
PBsT3c13m3,28.0,5.0,2.5,0.0,Stroke,good,2.5606125215230007
PBsT3c13m4,28.0,15.0,10.83333333,0.5,Stroke,poor,1.4777152068521984
PBsT3c14m1,28.0,20.0,7.5,0.0,Stroke,poor,1.7046909405572133
PBsT3c14m2,28.0,0.0,2.5,0.0,Stroke,good,2.749420886294838
GVsT3c16m2,28.0,27.27272727,4.545454545,0.0,Stroke,good,1.6011266976753717
GVsT3c16m3,28.0,28.57142857,4.580152672,0.25,Stroke,poor,1.4386833462958915
GVsT3c17m3,28.0,28.57142857,8.0,0.0,Stroke,good,1.3520698094801242
GVsT3c17m4,28.0,23.07692308,5.504587156,0.25,Stroke,poor,1.5926409586039758
GVsT3c12m2,28.0,18.18181818,2.222222222,0.75,Stroke,good,1.7447484912715114
GVsT3c12m3,28.0,16.66666667,3.521126761,0.0,Stroke,good,2.0609371483160266
GVsT3c13m1,28.0,18.18181818,2.127659574,0.0,Stroke,good,2.0844032634988796
GVsT3c13m3,28.0,15.38461538,3.333333333,0.4,Stroke,good,1.9419935046417345
GVsT3c13m4,28.0,16.66666667,4.430379747,0.0,Stroke,good,2.0082920393313723
GVsT3c14m1,28.0,33.33333333,4.210526316,0.0,Stroke,poor,1.3916601828474942
GVsT3c14m3,28.0,30.0,7.692307692,1.25,Stroke,poor,0.7589736285180764
GVsT3c10m1,28.0,0.0,11.36363636,0.25,Stroke,good,2.1248293488102106
GVsT3c8m2,28.0,0.0,7.142857143,0.0,Stroke,poor,2.4806027201113108
GVsT3c9m1,28.0,9.090909091,8.910891089,0.67,Stroke,poor,1.7364130302199794
GVsT3c3m1,28.0,6.25,6.976744186,0.25,Stroke,poor,2.1428168671827326
GVsT3c3m3,28.0,0.0,8.771929825,0.33,Stroke,poor,2.239241505527943
GVsT3c4m3,28.0,5.0,6.956521739,0.25,Stroke,poor,2.191189823847286
SPsV1c10m1,28.0,16.66666667,17.79661017,1.0,Stroke,good,0.7888238080820673
SPsT1c22m1,28.0,5.263157895,5.0,0.33,Stroke,good,2.258887944835534
SPsT1c22m3,28.0,7.692307692,3.333333333,0.5,Stroke,good,2.187910623639757
SPsV1c8m2,28.0,20.0,17.80821918,0.0,Stroke,poor,1.1078522933110155
SPsT1c13m1,28.0,0.0,6.451612903,0.67,Stroke,good,2.2220914450807396
SPsT1c11m2,28.0,15.0,7.142857143,0.33,Stroke,good,1.7671385747998194
SPsT1c11m3,28.0,0.0,8.527131783,0.33,Stroke,good,2.253415140147516
SPsT1c7m1,28.0,22.22222222,15.83333333,0.75,Stroke,poor,0.8041023062750172
SPsT1c4m3,28.0,10.0,11.66666667,0.5,Stroke,poor,1.6182741567963275
SPsV1c6m2,28.0,10.52631579,11.30434783,0.0,Stroke,good,1.8421640392120682
SPsT1c1m2,28.0,5.0,12.93103448,0.33,Stroke,poor,1.809623903709444
SPsV1c5m1,28.0,20.0,11.88118812,0.0,Stroke,poor,1.4510232269384276
SPsV1c5m2,28.0,18.18181818,10.11077158,0.33,Stroke,poor,1.4751476368483725
SPsV1c2m1,28.0,21.42857143,10.29411765,0.0,Stroke,poor,1.4889682448330948
SPsV1c2m3,28.0,16.66666667,19.73684211,0.67,Stroke,poor,0.8235247930947167
SPsV1c2m2,28.0,21.42857143,15.51724138,0.5,Stroke,poor,0.9637666100951587
