StudyID,TimePointMerged,C_PawDragPercent,GW_FootFault,RB_HindlimbDrop,Group,fixed_type
SRs1i7c4m2s,28.0,23.07692308,13.33333333,0.0,Stroke,poor
SRs1i7c4m2s,28.0,23.07692308,13.33333333,0.0,Stroke,poor
SRs1i7c4m2s,28.0,23.07692308,13.33333333,0.0,Stroke,poor
SRs1i7c4m2s,28.0,23.07692308,13.33333333,0.0,Stroke,poor
SRs1i7c4m2s,3.0,18.75,41.02564103,4.25,Stroke,poor
SRs1i7c4m2s,3.0,18.75,41.02564103,4.25,Stroke,poor
SRs1i7c4m2s,3.0,18.75,41.02564103,2.0,Stroke,poor
SRs1i7c4m2s,3.0,18.75,41.02564103,2.0,Stroke,poor
SRs1i7c4m2s,0.0,5.555555556,,0.0,Stroke,poor
SRs1i7c4m2s,0.0,5.555555556,,0.0,Stroke,poor
SRs1i7c4m3s,28.0,0.0,11.66666667,0.0,Stroke,poor
SRs1i7c4m3s,28.0,0.0,11.66666667,0.0,Stroke,poor
SRs1i7c4m3s,3.0,42.30769231,40.83333333,1.5,Stroke,poor
SRs1i7c4m3s,3.0,42.30769231,40.83333333,1.5,Stroke,poor
SRs1i7c4m3s,3.0,42.30769231,40.83333333,1.0,Stroke,poor
SRs1i7c4m3s,3.0,42.30769231,40.83333333,1.0,Stroke,poor
SRs1i7c4m3s,0.0,11.11111111,,0.0,Stroke,poor
SRs1i7c4m3s,0.0,11.11111111,,0.0,Stroke,poor
SRs1i7c4m4s,28.0,18.18181818,10.0,0.0,Stroke,poor
SRs1i7c4m4s,28.0,18.18181818,10.0,0.0,Stroke,poor
SRs1i7c4m4s,3.0,60.0,16.66666667,2.25,Stroke,poor
SRs1i7c4m4s,3.0,60.0,16.66666667,2.25,Stroke,poor
SRs1i7c4m4s,3.0,60.0,16.66666667,0.67,Stroke,poor
SRs1i7c4m4s,3.0,60.0,16.66666667,0.67,Stroke,poor
SRs1i7c4m4s,0.0,6.896551724,,0.5,Stroke,poor
SRs1i7c4m4s,0.0,6.896551724,,0.5,Stroke,poor
SRs1i7c5m1s,28.0,8.333333333,8.333333333,0.0,Stroke,poor
SRs1i7c5m1s,28.0,8.333333333,8.333333333,0.0,Stroke,poor
SRs1i7c5m1s,3.0,31.25,29.16666667,1.25,Stroke,poor
SRs1i7c5m1s,3.0,31.25,29.16666667,1.25,Stroke,poor
SRs1i7c5m1s,3.0,31.25,29.16666667,1.0,Stroke,poor
SRs1i7c5m1s,3.0,31.25,29.16666667,1.0,Stroke,poor
SRs1i7c5m1s,0.0,0.0,,0.0,Stroke,poor
SRs1i7c5m1s,0.0,0.0,,0.0,Stroke,poor
SRs1i7c5m2s,28.0,0.0,19.14893617,0.5,Stroke,poor
SRs1i7c5m2s,28.0,0.0,19.14893617,0.5,Stroke,poor
SRs1i7c5m2s,3.0,40.90909091,30.0,1.75,Stroke,poor
SRs1i7c5m2s,3.0,40.90909091,30.0,1.75,Stroke,poor
SRs1i7c5m2s,3.0,40.90909091,30.0,0.5,Stroke,poor
SRs1i7c5m2s,3.0,40.90909091,30.0,0.5,Stroke,poor
SRs1i7c5m2s,0.0,0.0,,0.0,Stroke,poor
SRs1i7c5m2s,0.0,0.0,,0.0,Stroke,poor
SRs1i7c5m3s,28.0,0.0,15.0,0.0,Stroke,poor
SRs1i7c5m3s,28.0,0.0,15.0,0.0,Stroke,poor
SRs1i7c5m3s,3.0,42.85714286,36.66666667,3.0,Stroke,poor
SRs1i7c5m3s,3.0,42.85714286,36.66666667,3.0,Stroke,poor
SRs1i7c5m3s,3.0,42.85714286,36.66666667,1.67,Stroke,poor
SRs1i7c5m3s,3.0,42.85714286,36.66666667,1.67,Stroke,poor
SRs1i7c5m3s,0.0,0.0,,0.67,Stroke,poor
SRs1i7c5m3s,0.0,0.0,,0.67,Stroke,poor
SPsT1.2.2c1m3,28.0,20.0,9.166666667,0.75,Stroke,poor
SPsT1.2.2c1m3,3.0,71.42857143,10.0,0.75,Stroke,poor
SPsT1.2.2c1m3,0.0,7.692307692,,0.5,Stroke,poor
PBsT3c25m2,28.0,0.0,5.0,0.0,Stroke,good
PBsT3c25m2,3.0,14.28571429,12.5,0.5,Stroke,good
PBsT3c25m2,0.0,5.0,4.166666667,0.25,Stroke,good
PBsT3c25m3,28.0,12.5,8.333333333,0.75,Stroke,good
PBsT3c25m3,3.0,40.0,11.66666667,0.25,Stroke,good
